recall_class1,f1_class1,f1_macro,strategy,model
0.8726937269372693,0.9113680154142582,0.9516232732438523,test_cust,lgbm
0.8690036900369004,0.9101449275362319,0.9509686776945125,book_noleak,lgbm
0.8819188191881919,0.9053030303030303,0.9482306486616832,book_claim_agg,lgbm
0.8726937269372693,0.8992395437262357,0.9449353101342863,book_cust_claim,lgbm
0.8690036900369004,0.8920454545454546,0.9409829394743188,book_spec_peer_z,lgbm
0.8708487084870848,0.8897266729500471,0.9396886350154924,test_legacy,lgbm
0.8726937269372693,0.8890977443609023,0.9393285571919535,book_cust_claim_dedup,lgbm
0.8782287822878229,0.8888888888888888,0.9391766268260292,book_pdf,lgbm
0.6512915129151291,0.6736641221374046,0.8217233846241008,test_member_abc,lgbm
0.6642066420664207,0.6728971962616822,0.8209563884991131,member_c_strategy_3,lgbm
0.6568265682656826,0.666043030869972,0.8172208603938247,member_c_strategy_4,lgbm
0.6512915129151291,0.6616682286785379,0.8148592493069653,member_c,lgbm
0.6531365313653137,0.6471663619744058,0.8064611085954356,member_c_strategy_2,lgbm
0.6346863468634686,0.6329346826126955,0.798779603031678,member_b_strategy_2,lgbm
0.6383763837638377,0.6302367941712204,0.797102777632291,member_b,lgbm
0.6143911439114391,0.6224299065420561,0.7933325170104049,member_b_strategy_3,lgbm
0.6143911439114391,0.6155268022181146,0.7893302213855551,member_a_strategy_4,lgbm
0.6033210332103321,0.5972602739726027,0.7790666554851036,member_a_strategy_5,lgbm
0.5940959409594095,0.5664028144239226,0.7612493188692772,member_a_strategy_3,lgbm
0.5904059040590406,0.564373897707231,0.7601962081128748,member_a_strategy_2,lgbm
0.5959409594095941,0.5578583765112263,0.7560883602755988,member_a,lgbm
