feature,abs_smd,mutual_info
mean_hosp_days,1.0850511034537371,0.08364332260956742
nunique_hosp,1.0075456409859496,0.06502384068529787
claim_cnt,0.8822079153122135,0.05433148087843698
ma2_pca_1,0.8703699789267988,0.044606718677587365
ma2_pca_0,0.6431577594809261,0.020241342838572596
CTPR,0.457183756432431,0.007676388535448053
sum_paym_amt,0.4550161018367295,0.05060858746188224
sum_dmnd_amt,0.4527114330558989,0.049050018268916196
ma2_kmeans_cluster,0.43206344063716395,0.029422883886199847
ma2_kmeans_dist,0.40586663826587105,0.013362672479188209
is_heed_hosp,0.38184971662744865,0.009156150122036744
OCCP_GRP_1,0.374614433490842,0.005216763357988707
ma2_pca_2,0.3477450232289214,0.011008488684225437
MAXCRDT,0.27102097675748826,0.006771776006237129
RESI_COST,0.23702193778661115,0.005832987799698319
AGE,0.19832789622095467,0.005703040502295753
LTBN_CHLD_AGE,0.19209541312060566,0.0027874295966876517
RESI_TYPE_CODE,0.1878372134043078,0.0030136466665862116
SEX,0.1668967339874863,0.002908403723669517
MATE_OCCP_GRP_1,0.1307990288591821,0.003117797088295182
