seed,variant,n_features,threshold,precision,recall,f1,ap,auc
42,base_only,31,0.4903914104647524,0.5217391304347826,0.6199261992619927,0.5666104553119731,0.5743006989982561,0.9021037985597017
42,full_base_plus_ma2,36,0.5953887759335681,0.5891783567134269,0.5424354243542435,0.5648414985590778,0.562828363391929,0.8989396949456111
42,ma2_only,5,0.6045522954400031,0.33955223880597013,0.503690036900369,0.40564635958395245,0.33365753502618756,0.8175977997149232
42,base_plus_pca_only,34,0.5435267470153313,0.5532646048109966,0.5940959409594095,0.5729537366548043,0.5654967190165365,0.9007490624454196
42,base_plus_kmeans_only,33,0.5324807999874037,0.5553602811950791,0.5830258302583026,0.5688568856885688,0.5665506137431686,0.8991454238243854
43,base_only,31,0.6112832583648761,0.6092592592592593,0.6070110701107011,0.6081330868761553,0.6141973566282817,0.9101053109449726
43,full_base_plus_ma2,36,0.5156596872674926,0.571900826446281,0.6383763837638377,0.6033129904097646,0.6119023407752677,0.9109308430435838
43,ma2_only,5,0.5613318418421206,0.3344594594594595,0.5479704797047971,0.4153846153846154,0.3395959810703445,0.8227784715358234
43,base_plus_pca_only,34,0.5246622626667014,0.5678391959798995,0.6254612546125461,0.5952589991220368,0.6181264539739564,0.9084427991948772
43,base_plus_kmeans_only,33,0.6358778915381349,0.6259842519685039,0.5867158671586716,0.6057142857142858,0.6242933986354344,0.9119948113148921
44,base_only,31,0.6260285184232143,0.5836431226765799,0.5793357933579336,0.5814814814814815,0.6130955459783893,0.9082318371490753
44,full_base_plus_ma2,36,0.4913692875108129,0.5309597523219814,0.6328413284132841,0.5774410774410774,0.6075504726049584,0.9050889932760345
44,ma2_only,5,0.5545308367286917,0.3304904051172708,0.5719557195571956,0.4189189189189189,0.35987163040178016,0.8335249435635643
44,base_plus_pca_only,34,0.5990682896927498,0.5844155844155844,0.5811808118081181,0.5827937095282146,0.6075706367487591,0.9065526446790794
44,base_plus_kmeans_only,33,0.6421641643715222,0.6104417670682731,0.5608856088560885,0.5846153846153846,0.6110208397279399,0.9070906796641091
45,base_only,31,0.6325083309967303,0.6186770428015564,0.5867158671586716,0.6022727272727273,0.6321048551900145,0.9079695246518146
45,full_base_plus_ma2,36,0.5180308811634209,0.5555555555555556,0.6273062730627307,0.5892547660311959,0.6240687160952337,0.9071734291177338
45,ma2_only,5,0.6902540325331432,0.41223832528180354,0.47232472324723246,0.4402407566638005,0.3921142100214912,0.8302517611242413
45,base_plus_pca_only,34,0.5964039208014077,0.5970695970695971,0.6014760147601476,0.5992647058823529,0.6288450873549782,0.9080117170609749
45,base_plus_kmeans_only,33,0.6582045151625886,0.639344262295082,0.5756457564575646,0.6058252427184466,0.6299678190995079,0.9108170216607325
46,base_only,31,0.5947179946674994,0.5823970037453183,0.5738007380073801,0.5780669144981413,0.5900234987449753,0.9057205711216836
