feature,abs_smd,mutual_info,max_abs_corr_with_original,top_corr_originals
ma2_pca_1,0.8703699789267988,0.044606718677587365,0.6614969520415754,sum_paym_amt:0.661; sum_dmnd_amt:0.661; claim_cnt:0.610; nunique_hosp:0.547; JPBASE_HSHD_INCM:0.448
ma2_kmeans_cluster,0.43206344063716395,0.029422883886199847,0.6378881237720309,acci_pct_2:0.638; acci_pct_1:0.511; LTBN_CHLD_AGE:0.382; CHLD_CNT:0.359; WEDD_YN:0.336
ma2_pca_0,0.6431577594809261,0.020241342838572596,0.621661250235275,LTBN_CHLD_AGE:0.622; WEDD_YN:0.597; CHLD_CNT:0.596; JPBASE_HSHD_INCM:0.532; AGE:0.484
ma2_kmeans_dist,0.40586663826587105,0.013362672479188209,0.3911750629070684,sum_dmnd_amt:0.391; sum_paym_amt:0.391; CUST_RGST:0.343; claim_cnt:0.286; MINCRDT:0.269
ma2_pca_2,0.3477450232289214,0.011008488684225437,0.8978916889104378,acci_pct_3:0.898; acci_pct_1:0.740; SEX:0.399; acci_pct_2:0.357; mean_hosp_days:0.295
