feature,abs_smd,mutual_info
mean_hosp_days,1.0850511034537371,0.08364332260956742
nunique_hosp,1.0075456409859496,0.06502384068529787
claim_cnt,0.8822079153122135,0.05433148087843698
sum_paym_amt,0.4550161018367295,0.05060858746188224
sum_dmnd_amt,0.4527114330558989,0.049050018268916196
ma2_pca_1,0.8703699789267988,0.044606718677587365
acci_pct_3,0.0908715419940361,0.03769772536422278
acci_pct_1,0.04215323192963727,0.035750428493566355
ma2_kmeans_cluster,0.43206344063716395,0.029422883886199847
acci_pct_2,0.08633354131958468,0.02289669098657865
paym_rate,0.07880752972113285,0.02275033426835016
ma2_pca_0,0.6431577594809261,0.020241342838572596
ma2_kmeans_dist,0.40586663826587105,0.013362672479188209
ma2_pca_2,0.3477450232289214,0.011008488684225437
mean_hosp_dist,0.02154459335281679,0.0098968894058733
is_heed_hosp,0.38184971662744865,0.009156150122036744
CTPR,0.457183756432431,0.007676388535448053
MAXCRDT,0.27102097675748826,0.006771776006237129
MINCRDT,0.12340919802718373,0.00585427186071108
RESI_COST,0.23702193778661115,0.005832987799698319
