variant,n_features,threshold,precision,recall,f1,ap,roc_auc,tp,fp,fn,tn
A2_full_base_plus_ma2,36,0.5953887759335681,0.5891783567134269,0.5424354243542435,0.5648414985590778,0.562828363391929,0.8989396949456111,294,205,248,5436
A2_base_only_remove_ma2,31,0.4903914104647524,0.5217391304347826,0.6199261992619927,0.5666104553119731,0.5743006989982561,0.9021037985597017,336,308,206,5333
A2_ma2_only,5,0.6045522954400031,0.33955223880597013,0.503690036900369,0.40564635958395245,0.33365753502618756,0.8175977997149232,273,531,269,5110
A2_base_plus_pca_only,34,0.5435267470153313,0.5532646048109966,0.5940959409594095,0.5729537366548043,0.5654967190165365,0.9007490624454196,322,260,220,5381
A2_base_plus_kmeans_only,33,0.5324807999874037,0.5553602811950791,0.5830258302583026,0.5688568856885688,0.5665506137431686,0.8991454238243854,316,253,226,5388
