variant,n,f1_mean,f1_std,f1_min,f1_max,ap_mean,auc_mean,recall_mean,precision_mean
base_plus_kmeans_only,15,0.5941183713692898,0.017788125902009084,0.5678391959798995,0.6246524559777572,0.6133171767169574,0.9086528890461747,0.6017220172201723,0.59073082762933
base_only,15,0.5914032996410463,0.015579574988585525,0.5666104553119731,0.6124763705103969,0.614445364535117,0.9088559141219846,0.5858548585485855,0.5996679499652977
base_plus_pca_only,15,0.5906065127887767,0.01504476494905436,0.5724770642201835,0.6213592233009708,0.6135728439247524,0.9087730992537721,0.6075030750307503,0.5774430716459752
full_base_plus_ma2,15,0.5905010192651994,0.01666269487871325,0.5648414985590778,0.6167718665464382,0.6124608946565238,0.9083938690831688,0.6082410824108241,0.5764608813468647
ma2_only,15,0.4186366956875602,0.01199389952821539,0.39865996649916247,0.4402407566638005,0.3601575071567872,0.8225075461178296,0.507380073800738,0.3599775287481147
