seed,base_plus_kmeans_only,base_plus_pca_only,full_base_plus_ma2,ma2_only
42,0.002246430376595776,0.006343281342831242,-0.0017689567528952344,-0.16096409572802062
43,-0.0024188011618695437,-0.012874087754118468,-0.0048200964663907,-0.1927484714915399
44,0.0031339031339031598,0.0013122280467331437,-0.004040404040404066,-0.16256256256256257
45,0.0035525154457193286,-0.0030080213903743713,-0.013017961241531428,-0.16203197060892677
46,0.012409275978049195,-0.0003255069694997337,0.0014975746140865054,-0.17940694799897883
47,-0.00345010812480695,0.0006025927974592227,-0.0007009140564639971,-0.19170236037705923
48,-0.00045846323124887345,0.005139597244860461,-0.003289473684210509,-0.18421052631578944
49,-0.004665511625766783,-0.0038976811973318037,-0.008015370417515322,-0.1602162088321495
50,0.00022567759698499668,-0.003669958585536759,-0.00961133543065218,-0.18638847697365007
51,0.003923787574615201,1.6949597828608276e-06,0.007386606531298523,-0.16908921288147988
52,0.012176085467360265,-0.015822095417460158,0.003770128089042868,-0.18104568111084174
53,-0.005586406411066336,-0.0015635877878624749,0.005617364505034139,-0.1762178458410647
54,0.012780486913402722,0.005771946794548621,0.01045148451576261,-0.16951172919691299
55,-0.008372257764593827,-0.0033214281690457925,-0.005764718349304365,-0.1435821747932916
56,0.015229461756373963,0.013359223300970835,0.008771866546438245,-0.17182079459002536
