k,cluster,n,pos,pos_rate,overall_pos_rate,lift_vs_overall,share_all,share_pos,mean,median,std
2,0,7744,813,0.1049845041322314,0.08764012228854273,1.1979045828642814,0.3757946328917358,0.45016611295681064,4.517998720960884,3.9284379088925467,2.4973160215514523
2,1,12863,993,0.07719816528026122,0.08764012228854273,0.8808541483556716,0.6242053671082641,0.5498338870431894,4.0710471385725215,3.5279739636338627,2.0206857769195397
5,0,4729,308,0.06513004863607529,0.08764012228854273,0.74315332903854,0.2294851264133547,0.17054263565891473,3.5361988323935707,3.176354512525337,1.6532040695988692
5,1,7401,410,0.055397919200108094,0.08764012228854273,0.6321068222351204,0.35914980346484204,0.22702104097452935,3.4747358386283658,3.026114463694285,1.7829385911216462
5,2,5743,462,0.08044576005572,0.08764012228854273,0.9179101757852836,0.27869170670160626,0.2558139534883721,4.165179972517061,3.681480098045496,2.2648723970101945
5,3,1055,487,0.46161137440758293,0.08764012228854273,5.2671238053250615,0.05119619546755957,0.26965669988925806,6.362453963629174,5.65897436862044,3.265623697466669
5,4,1679,139,0.08278737343656939,0.08764012228854273,0.9446286846109553,0.08147716795263746,0.0769656699889258,3.8328921436835994,3.3765376976235757,1.8991927258067376
