seed,base_plus_k2_numeric_plus_pca3,base_plus_k5_numeric_plus_pca3_existing_A2,base_plus_kmeans2_numeric,base_plus_kmeans2_onehot,base_plus_kmeans5_numeric_current_style,base_plus_kmeans5_onehot,base_plus_pca10,base_plus_pca2,base_plus_pca3_current_count,base_plus_pca5
42,0.008834718071344616,-0.0017689567528952344,0.01061814133409933,0.01061814133409933,0.002246430376595776,0.0024272015917926604,-0.0011742137012348275,-0.007450149968461606,0.006343281342831242,0.0009077928632094112
43,-0.01220778976240322,-0.0048200964663907,-0.0003783528815656245,-0.0003783528815656245,-0.0024188011618695437,-0.004651462117934768,0.007115140074199333,0.002879346516384662,-0.012874087754118468,-0.0016038772541622226
44,0.011780638485650807,-0.004040404040404066,0.009596585433016669,0.009596585433016669,0.0031339031339031598,0.013068477230326891,-0.006091533474549049,0.0024601243579345233,0.0013122280467331437,-0.007991851183916099
45,-0.01815174428595978,-0.013017961241531428,-0.00045454545454548523,-0.00045454545454548523,0.0035525154457193286,-0.0018790264853256744,-0.005089628681178016,-0.005257801899593018,-0.0030080213903743713,-0.0198838868193707
46,0.005339199038976616,0.0014975746140865054,0.009234672803446031,0.009234672803446031,0.012409275978049195,-0.004408377912775485,0.006119132013486572,0.005569449138222327,-0.0003255069694997337,0.002634839887823648
47,-0.00340359649690003,-0.0007009140564639971,0.010754929953693315,0.010754929953693315,-0.00345010812480695,0.007216558541859652,0.00753923212296026,-0.0030398517145505677,0.0006025927974592227,-0.008817330788296496
48,0.003021127479331809,-0.003289473684210509,-0.0011607062252543265,-0.0011607062252543265,-0.00045846323124887345,0.0015496757160076147,-0.007870800596998073,-0.007699972823625334,0.005139597244860461,0.002751559750439947
49,-0.009877283488581301,-0.008015370417515322,0.00648239743962753,0.00648239743962753,-0.004665511625766783,-0.003275330212836991,-0.0007289889599507715,-0.0020775566624952058,-0.0038976811973318037,-0.013067251877463604
50,-0.004819448731036791,-0.00961133543065218,-0.006073059360730548,-0.006073059360730548,0.00022567759698499668,-0.004223650182384908,-0.007106538254471495,-0.006603571473579373,-0.003669958585536759,-0.0034427137251125117
51,0.00677292717559852,0.007386606531298523,-0.0003492565824174676,-0.0003492565824174676,0.003923787574615201,-0.006948911369705546,0.002273453297723438,0.002511642835663408,1.6949597828608276e-06,0.010221812341465686
