component,mutual_info,abs_smd,explained_variance_ratio
pca_13,0.049605003911789014,0.2681562367057066,0.03460089871405433
pca_1,0.044606718677587365,0.8703699789267989,0.10937634906159534
pca_5,0.03899507292716309,0.6890532389518567,0.05452579326742301
pca_0,0.020241342838572596,0.6431577594809261,0.1205124439744125
pca_2,0.011008488684225437,0.3477450232289214,0.07759769606169005
pca_7,0.008011410263517371,0.31240708829111624,0.047081500990930836
pca_15,0.0049800833608821815,0.24044227055262837,0.02872151066044403
pca_6,0.004569201875597395,0.11992015668253868,0.05108607126911067
pca_12,0.00389815557994444,0.162257395890953,0.035439444841278346
pca_19,0.003145509514175915,0.10046082752050246,0.016394412123982273
pca_14,0.002942227543176079,0.12949614463665732,0.03259407566878638
pca_17,0.0026247162984753825,0.13291618282223147,0.023253047635444304
pca_11,0.0015346069425394848,0.05136622311397981,0.03785244364220815
pca_3,0.0013599429154242948,0.09318772945886683,0.07052587199806483
pca_10,0.001021757161912662,0.05155520810023065,0.03905955983998348
pca_18,0.000294571296950652,0.049690419751043116,0.01761649909444423
pca_8,0.00012133211459830484,0.1279326299010953,0.0454480327361826
pca_4,0.0,0.08883695171351842,0.06285580366482837
pca_9,0.0,0.0012081729497373092,0.039873712682560465
pca_16,0.0,0.15204882045834142,0.027030075386874537
