k,top_n_high_risk_clusters,f1_mean,f1_std,precision_mean,recall_mean
2,1,0.172948504624103,0.007823112526039068,0.10664165086609775,0.457380073800738
5,1,0.33640566412356127,0.014470048945866777,0.4488305014491676,0.26918819188191884
5,2,0.26354142574034356,0.02402506857710363,0.20898535894914128,0.383210332103321
