variant,n,n_features,f1_mean,f1_std,precision_mean,recall_mean,ap_mean,roc_auc_mean
base_plus_pca_top_smd5,10,36,0.5913731620016975,0.012298077364538359,0.5792180579586786,0.6059040590405904,0.6067302613820367,0.9060162123514516
base_plus_pca_top_mi5,10,36,0.5905820283377043,0.017213952951784458,0.5793153885213643,0.6064575645756458,0.6095384756700947,0.9071572062999481
base_only,10,31,0.5898275793329419,0.015659281478322754,0.597364737559389,0.5846863468634687,0.6092311289673125,0.907460533743788
base_plus_pca_top_mi3,10,34,0.5867336283882029,0.014340555800398273,0.5698829654231711,0.6097785977859779,0.6084057706013213,0.9070142754255055
base_plus_pca15_first15,10,46,0.5867087472222485,0.014731431919563371,0.5724930205486478,0.6027675276752767,0.6035422246394404,0.9051440396517065
base_plus_pca_top_smd3,10,34,0.585971941410151,0.01838853921801125,0.5730146533086594,0.6023985239852399,0.6090692131257489,0.906305835439138
