seed,variant,n_features,threshold,precision,recall,f1,ap,roc_auc
42,base_only,31,0.4903914104647524,0.5217391304347826,0.6199261992619927,0.5666104553119731,0.5743006989982561,0.9021037985597017
42,base_plus_pca15_first15,46,0.4805039638003706,0.5371900826446281,0.5996309963099631,0.5666957279860506,0.5653394546822225,0.8975035176694615
42,base_plus_pca_top_mi3,34,0.4352757163911252,0.4956268221574344,0.6273062730627307,0.5537459283387622,0.5567325951297044,0.8971545308433053
42,base_plus_pca_top_mi5,36,0.4841973957569119,0.5254777070063694,0.6088560885608856,0.5641025641025641,0.562114817164398,0.8983715692501721
42,base_plus_pca_top_smd3,34,0.6031679083194306,0.5626204238921002,0.5387453874538746,0.5504241281809613,0.5541531149002576,0.8954854776344252
42,base_plus_pca_top_smd5,36,0.5610840912679727,0.5616197183098591,0.5885608856088561,0.5747747747747748,0.5636577116115088,0.8983918477724044
43,base_only,31,0.6112832583648761,0.6092592592592593,0.6070110701107011,0.6081330868761553,0.6141973566282817,0.9101053109449726
43,base_plus_pca15_first15,46,0.584982866360586,0.6101694915254238,0.5977859778597786,0.6039142590866728,0.612728240099774,0.9077310884791173
43,base_plus_pca_top_mi3,34,0.5428535100168406,0.5788561525129983,0.6162361623616236,0.5969615728328865,0.6169943201594013,0.9125053721730269
43,base_plus_pca_top_mi5,36,0.5218960372669608,0.5805369127516778,0.6383763837638377,0.6080843585237259,0.6244796919185532,0.912861554603846
43,base_plus_pca_top_smd3,34,0.573228795553073,0.5848056537102474,0.6107011070110702,0.5974729241877257,0.6123934696167556,0.9079626561200909
43,base_plus_pca_top_smd5,36,0.48939909609364785,0.554858934169279,0.6531365313653137,0.6,0.6108146220425351,0.9096075059314678
44,base_only,31,0.6260285184232143,0.5836431226765799,0.5793357933579336,0.5814814814814815,0.6130955459783893,0.9082318371490753
44,base_plus_pca15_first15,46,0.5293298661842598,0.5465517241379311,0.584870848708487,0.5650623885918004,0.5978876723058568,0.903879804619709
44,base_plus_pca_top_mi3,34,0.6176283629366811,0.5861423220973783,0.577490774907749,0.5817843866171004,0.6094240551282862,0.907186512035303
44,base_plus_pca_top_mi5,36,0.5777719606163294,0.5778175313059034,0.5959409594095941,0.5867393278837421,0.6060590654665918,0.9047733678896795
44,base_plus_pca_top_smd3,34,0.47118642447453624,0.5253731343283582,0.6494464944649446,0.5808580858085809,0.6083464804870975,0.9052208036705433
44,base_plus_pca_top_smd5,36,0.5547159987502572,0.5737122557726465,0.5959409594095941,0.5846153846153846,0.6065582420904865,0.9051416520192501
45,base_only,31,0.6325083309967303,0.6186770428015564,0.5867158671586716,0.6022727272727273,0.6321048551900145,0.9079695246518146
45,base_plus_pca15_first15,46,0.4811044757119073,0.554675118858954,0.6457564575645757,0.5967604433077579,0.6341812918432008,0.9095113464873348
45,base_plus_pca_top_mi3,34,0.5190564522022241,0.5536547433903577,0.6568265682656826,0.60084388185654,0.6373917256822761,0.9127228756776133
45,base_plus_pca_top_mi5,36,0.5093921577044891,0.5647249190938511,0.6439114391143912,0.6017241379310345,0.6362911817534911,0.9093831338951575
45,base_plus_pca_top_smd3,34,0.6326288428228327,0.6085271317829457,0.5793357933579336,0.5935727788279773,0.6429167660092634,0.9141423722338623
45,base_plus_pca_top_smd5,36,0.5002532809180922,0.5470219435736677,0.6439114391143912,0.5915254237288136,0.630775321077368,0.9060859115948011
46,base_only,31,0.5947179946674994,0.5823970037453183,0.5738007380073801,0.5780669144981413,0.5900234987449753,0.9057205711216836
46,base_plus_pca15_first15,46,0.47574878812574445,0.5635451505016722,0.6217712177121771,0.5912280701754385,0.5765907480628693,0.9034977834266908
46,base_plus_pca_top_mi3,34,0.579443032906534,0.588126159554731,0.584870848708487,0.5864939870490287,0.6006508648020045,0.9094537816500307
46,base_plus_pca_top_mi5,36,0.5889863012464962,0.6011673151750972,0.5701107011070111,0.5852272727272727,0.5991094101120114,0.9067080043252125
46,base_plus_pca_top_smd3,34,0.625709517275537,0.610655737704918,0.5498154981549815,0.5786407766990291,0.5967086795930046,0.9057604740202694
46,base_plus_pca_top_smd5,36,0.5911892904691136,0.5917602996254682,0.5830258302583026,0.587360594795539,0.5932330383191687,0.905217532941151
47,base_only,31,0.5990071398677626,0.6089385474860335,0.6033210332103321,0.6061167747914736,0.6311504766070712,0.9118862230990683
47,base_plus_pca15_first15,46,0.5586754815372256,0.601113172541744,0.5977859778597786,0.599444958371878,0.6327099743483837,0.9104399065618027
47,base_plus_pca_top_mi3,34,0.6332486927702837,0.6235059760956175,0.577490774907749,0.5996168582375478,0.6344475799420729,0.9152295626838558
47,base_plus_pca_top_mi5,36,0.6533749023401828,0.660377358490566,0.5811808118081181,0.6182531894013739,0.6444198412933562,0.9154081445086742
47,base_plus_pca_top_smd3,34,0.6046999006088516,0.6221804511278195,0.6107011070110702,0.6163873370577281,0.6418137249557543,0.9142437648450231
47,base_plus_pca_top_smd5,36,0.5197712306201704,0.5889261744966443,0.6476014760147601,0.616871704745167,0.6427977786061693,0.9169293607490233
48,base_only,31,0.5676326910851596,0.6130268199233716,0.5904059040590406,0.6015037593984962,0.6272320496619482,0.9092150184043942
48,base_plus_pca15_first15,46,0.4312674530451594,0.5798611111111112,0.6162361623616236,0.5974955277280859,0.6207337658082145,0.9048832643972602
48,base_plus_pca_top_mi3,34,0.4649122678310895,0.5625,0.6309963099630996,0.5947826086956521,0.619638461404295,0.8998061111616259
48,base_plus_pca_top_mi5,36,0.6424593369575866,0.6579520697167756,0.5571955719557196,0.6033966033966034,0.626281842631189,0.9042343516858321
48,base_plus_pca_top_smd3,34,0.4684747029068208,0.5593495934959349,0.6346863468634686,0.5946413137424373,0.6212192733209929,0.9034987646455086
48,base_plus_pca_top_smd5,36,0.58835702395078,0.6229838709677419,0.5701107011070111,0.5953757225433526,0.6206874360873941,0.9044675546915015
49,base_only,31,0.7098641916959307,0.6431818181818182,0.522140221402214,0.5763747454175153,0.5840382321148054,0.9043543874545287
49,base_plus_pca15_first15,46,0.5855257544828385,0.5859375,0.5535055350553506,0.5692599620493358,0.5820307537233931,0.8995801037606191
49,base_plus_pca_top_mi3,34,0.6612191301775031,0.6363636363636364,0.5295202952029521,0.5780463242698892,0.5824241142877041,0.8994715155447954
49,base_plus_pca_top_mi5,36,0.5225339647826759,0.543046357615894,0.6051660516605166,0.5724258289703316,0.5764603570663702,0.9031098749207666
49,base_plus_pca_top_smd3,34,0.569926200218409,0.5484429065743944,0.584870848708487,0.5660714285714286,0.5833377823764359,0.9004102148803796
49,base_plus_pca_top_smd5,36,0.5750122854487588,0.5794223826714802,0.5922509225092251,0.5857664233576643,0.5861525438618902,0.9018012560909158
50,base_only,31,0.6344522153492422,0.596745027124774,0.6088560885608856,0.6027397260273972,0.6252381729257517,0.9111699333621595
50,base_plus_pca15_first15,46,0.5614936128969885,0.5796847635726795,0.6107011070110702,0.5947888589398024,0.61666343653857,0.9087446875177846
50,base_plus_pca_top_mi3,34,0.506846098352735,0.54337899543379,0.6586715867158671,0.5954962468723937,0.6244312653824085,0.9101870791797795
50,base_plus_pca_top_mi5,36,0.5298069213579293,0.5453125,0.6439114391143912,0.5905245346869712,0.6177727185711404,0.9115477026069676
50,base_plus_pca_top_smd3,34,0.5579258183005186,0.5557324840764332,0.6439114391143912,0.5965811965811966,0.6241662435864856,0.9102917425203325
50,base_plus_pca_top_smd5,36,0.6304124459896414,0.6111111111111112,0.5885608856088561,0.599624060150376,0.6180503578459413,0.9074641969607075
51,base_only,31,0.6232434559280567,0.596039603960396,0.5553505535055351,0.5749761222540593,0.6009304028236313,0.9038487326904823
51,base_plus_pca15_first15,46,0.5024710851023232,0.5662020905923345,0.5996309963099631,0.5824372759856631,0.5965569089819194,0.9056688935972856
51,base_plus_pca_top_mi3,34,0.4391280141842287,0.5306748466257669,0.6383763837638377,0.5795644891122278,0.6019227240950601,0.9064254133057197
51,base_plus_pca_top_mi5,36,0.4779581205016197,0.536741214057508,0.6199261992619927,0.5753424657534246,0.6023958307238456,0.9051743593131729
