component,abs_smd,mutual_info,pos_mean,neg_mean,explained_variance_ratio,cumulative_explained_variance_ratio
pca_0,0.6431577594809261,0.020241342838572596,1.168156996923034,-0.11221166621153893,0.1205124439744125,0.1205124439744125
pca_1,0.8703699789267989,0.044606718677587365,1.676091493219356,-0.16100320391224324,0.10937634906159534,0.22988879303600784
pca_2,0.3477450232289214,0.011008488684225437,-0.41792903847023305,0.04014572860366108,0.07759769606169005,0.3074864890976979
pca_3,0.09318772945886683,0.0013599429154242948,-0.11492002413548252,0.011039070453105515,0.07052587199806483,0.3780123610957627
pca_4,0.08883695171351842,0.0,0.10835595769410507,-0.010408534630894433,0.06285580366482837,0.4408681647605911
pca_5,0.6890532389518567,0.03899507292716309,-0.8657061979866922,0.08315862951777069,0.05452579326742301,0.4953939580280141
pca_6,0.11992015668253868,0.004569201875597395,-0.1345958602221107,0.012929106088050117,0.05108607126911067,0.5464800292971248
pca_7,0.31240708829111624,0.008011410263517371,0.3377230163402059,-0.03244124075904214,0.047081500990930836,0.5935615302880557
pca_8,0.1279326299010953,0.00012133211459830484,-0.12759718063086278,0.012256821882827814,0.0454480327361826,0.6390095630242383
pca_9,0.0012081729497373092,0.0,-0.0011366290464085173,0.00010918313162710306,0.039873712682560465,0.6788832757067987
pca_10,0.05155520810023065,0.001021757161912662,-0.04475591867136756,0.004299196272562878,0.03905955983998348,0.7179428355467822
pca_11,0.05136622311397981,0.0015346069425394848,0.040840579811903664,-0.003923093832262106,0.03785244364220815,0.7557952791889904
pca_12,0.162257395890953,0.00389815557994444,0.14868810615272127,-0.014282789198014281,0.035439444841278346,0.7912347240302687
pca_13,0.2681562367057066,0.049605003911789014,-0.28612499889586496,0.02748480123429158,0.03460089871405433,0.8258356227443231
pca_14,0.12949614463665732,0.002942227543176079,0.10534410248659157,-0.010119219673984452,0.03259407566878638,0.8584296984131095
