k,inertia,silhouette_sample7000,davies_bouldin,calinski_harabasz
2,472064.5518868082,0.12075147062610894,2.8760706322942777,1881.7222134412154
3,441460.74237362045,0.12050059135223251,2.4330635524550512,1720.2079577539746
4,417577.54050380917,0.09301108302558615,2.385943043280953,1605.1318073526454
5,398692.8267899278,0.11137632976580403,2.182004367588176,1504.771418628832
6,382466.31340418,0.11681189288222049,2.0826569548803975,1429.6327616725785
7,365199.89214970043,0.12068610936743594,1.8275330671297338,1409.9531497314656
8,347314.2338172521,0.12453044206331924,1.6244953748702047,1422.2459852217285
9,337309.37161566294,0.11012468936680102,1.7129786971448047,1357.6841919715405
10,319029.51061710133,0.13435377931080397,1.5547550136174315,1407.0480456686475
