k,adjusted_rand_index,normalized_mutual_info,homogeneity,completeness,v_measure,fowlkes_mallows,precision,recall,f1,balanced_accuracy,mcc,positive_rate_pred
2,0.011845076655110809,0.0023157091197110783,0.003738156912053951,0.0016774166106501107,0.0023157091197110783,0.6720338138382079,,,,,,
2_top1_oracle_binary,0.011845076655110809,0.0023157091197110783,0.003738156912053951,0.0016774166106501107,0.0023157091197110783,0.6720338138382079,0.1049845041322314,0.45016611295681064,0.17026178010471205,0.5407577546327589,0.04759220064404028,0.3757946328917358
2_top2_oracle_binary,0.0,0.0,0.0,1.0,0.0,0.9165552774988361,0.08764012228854273,1.0,0.16115647169053673,0.5,0.0,1.0
5,0.028082348978803844,0.03297651205275671,0.0952031956294655,0.019942017004437214,0.032976512052756715,0.49440610340121727,,,,,,
5_top1_oracle_binary,0.2638283852032735,0.10953724762831447,0.09201732300210795,0.13529766831477671,0.10953724762831447,0.9051270415542106,0.46161137440758293,0.26965669988925806,0.34044040545263893,0.6197227704541763,0.3072092424388406,0.05119619546755957
5_top2_oracle_binary,0.152478039866374,0.042724225593568275,0.04951260991798544,0.037572834091607735,0.04272422559356827,0.8341952620387746,0.22896854425749816,0.34662236987818384,0.2757709251101322,0.6172503371118487,0.19547690788903924,0.13267336342019703
5_top3_oracle_binary,0.024582625792619925,0.014585442637394837,0.02392238452046413,0.010490848880687588,0.014585442637394839,0.6673297796615081,0.12834729267429515,0.602436323366556,0.21161139745210542,0.6047126566569496,0.12034471687595862,0.4113650701218033
5_top4_oracle_binary,-0.02049754065407311,0.008190553140015393,0.013097045954609888,0.005958386972896025,0.008190553140015393,0.6661126082982749,0.10570952597304256,0.7729789590254706,0.18598454569677592,0.5724104411637113,0.08535907265292134,0.640850196535158
5_top5_oracle_binary,0.0,0.0,0.0,1.0,0.0,0.9165552774988361,0.08764012228854273,1.0,0.16115647169053673,0.5,0.0,1.0
