feature,abs_smd,mutual_info,pos_mean,neg_mean,nonzero_rate,unique
ma3_max_dmnd_amt,0.13544315089195266,0.04399732530614986,3491005.5647840532,2155753.537152279,0.9997088368030281,6027
ma3_nunique_acci_dvsn,0.877839976671504,0.0320570099740789,1.870985603543743,1.3105685867772991,1.0,3
ma3_std_dmnd_amt,0.06588583171672331,0.023349003361029963,990090.3005119152,773804.1051435858,0.973212985878585,12595
ma3_mean_paym_dmnd_ratio,0.06455346798735213,0.02281957137239443,0.9990454631634084,0.9971455495308859,0.9987868200126171,3097
ma3_frac_heed_claim_rows,0.12435315277312775,0.014027565995869962,0.03617143709463236,0.020953133187924782,0.05245790265443781,151
ma3_max_nonpay_ratio,0.40998457417558676,0.009844094761277011,0.06688882978824126,0.1885831009114723,0.24054932789828698,4489
ma3_resi_unknown,0.13288646189148434,0.003393388899533445,0.03709856035437431,0.06648582522206266,0.06391032173533265,2
ma3_doc_hosp_train_cross,0.0,0.001402369943434012,0.0,0.0,0.0,1
ma3_absdiff_hh_incm_est,0.02151498375417393,0.0011109549063073043,1753.4318936877075,1800.0376575714058,0.9126510409084292,5801
ma3_cust_minus_jpbase_incm,0.029750593059024222,0.0003353529384702014,-2834.686600221484,-2909.003935960853,0.6613286747221818,4421
ma3_doc_siu_train_expo,0.0,0.0,0.0,0.0,0.0,1
ma3_hosp_siu_train_expo,0.0,0.0,0.0,0.0,0.0,1
