version,strategy,f1,recall,precision,threshold,TP,FP,FN,TN
v1,member_a,0.5666104553119731,0.6199261992619927,0.5217391304347826,0.4903914104647524,336,308,206,5333
v2,member_a_strategy_2,0.5648414985590778,0.5424354243542435,0.5891783567134269,0.5953887759335681,294,205,248,5436
v3,member_a_strategy_3,0.5736434108527132,0.5461254612546126,0.6040816326530613,0.6309882125776689,296,194,246,5447
v4,member_a_strategy_4,0.614687216681777,0.6254612546125461,0.6042780748663101,0.477334084233761,339,222,203,5419
v5,member_a_strategy_5,0.5971291866028708,0.5756457564575646,0.6202783300198808,0.5638867081878798,312,191,230,5450
