model,recall_class1,f1_class1,f1_macro
lgbm,0.5498154981549815,0.645021645021645,0.8081776639721054
rf,0.4151291512915129,0.5487804878048781,0.758367378840946
logistic,0.15682656826568267,0.2442528735632184,0.599590018615371
