iter	Passed	Remaining
161	10060	20990
162	10125	20935
163	10187	20872
164	10246	20804
165	10308	20742
166	10368	20675
167	10417	20586
168	10470	20507
169	10529	20439
170	10573	20342
171	10628	20268
172	10678	20183
173	10726	20097
174	10779	20018
175	10836	19949
176	10884	19863
177	10934	19779
178	11003	19732
179	11045	19636
180	11103	19568
181	11163	19505
182	11220	19436
183	11280	19372
184	11337	19303
185	11395	19238
186	11438	19145
187	11477	19048
188	11526	18967
189	11570	18877
190	11621	18800
191	11674	18728
192	11719	18641
193	11764	18555
194	11813	18478
195	11866	18404
196	11912	18321
197	11955	18235
198	12002	18154
199	12059	18089
200	12109	18013
201	12163	17943
202	12217	17874
203	12268	17801
204	12321	17730
205	12367	17650
206	12413	17570
207	12460	17492
208	12508	17416
209	12565	17352
210	12617	17282
211	12666	17207
212	12711	17127
213	12772	17069
214	12817	16991
215	12878	16932
216	12930	16862
217	12977	16786
218	13038	16729
219	13101	16674
220	13146	16596
221	13208	16539
222	13275	16489
223	13327	16421
224	13414	16394
225	13490	16356
226	13568	16317
227	13624	16253
228	13670	16177
229	13732	16121
230	13786	16054
231	13835	15982
232	13882	15908
233	13947	15854
234	13989	15775
235	14057	15725
236	14100	15646
237	14151	15577
238	14200	15507
239	14269	15458
240	14318	15388
241	14371	15322
242	14425	15256
243	14464	15176
244	14521	15114
245	14576	15050
246	14627	14982
247	14685	14922
248	14737	14855
249	14790	14790
250	14849	14730
251	14912	14675
252	14975	14620
253	15032	14559
254	15070	14479
255	15115	14407
256	15159	14333
257	15204	14261
258	15248	14188
259	15290	14114
260	15335	14042
261	15381	13972
262	15432	13906
263	15483	13841
264	15525	13767
265	15567	13695
266	15606	13618
267	15645	13543
268	15682	13467
269	15729	13399
270	15774	13329
271	15826	13266
272	15873	13198
273	15913	13126
274	15954	13054
275	15995	12981
276	16037	12911
277	16079	12840
278	16122	12770
279	16162	12698
280	16206	12630
281	16249	12561
282	16291	12492
283	16333	12422
284	16375	12353
285	16415	12282
286	16455	12212
287	16498	12144
288	16539	12075
289	16580	12006
290	16625	11940
291	16670	11875
292	16715	11809
293	16759	11743
294	16804	11677
295	16848	11611
296	16890	11544
297	16937	11481
298	16978	11413
299	17012	11341
300	17046	11269
301	17083	11200
302	17122	11132
303	17163	11065
304	17205	11000
305	17244	10933
306	17282	10864
307	17318	10795
308	17350	10725
309	17385	10655
310	17419	10585
311	17454	10517
312	17489	10449
313	17529	10383
314	17565	10315
315	17601	10248
316	17637	10182
317	17675	10116
318	17712	10050
319	17752	9985
320	17787	9918
321	17823	9852
322	17860	9787
323	17896	9721
324	17932	9656
325	17967	9589
326	18005	9525
327	18037	9458
328	18071	9392
329	18108	9328
330	18146	9265
331	18187	9203
332	18222	9138
333	18261	9076
334	18298	9012
335	18338	8951
336	18376	8888
337	18417	8827
338	18458	8766
339	18499	8705
340	18539	8644
341	18577	8582
342	18615	8520
343	18653	8459
344	18690	8397
345	18728	8335
346	18764	8273
347	18799	8211
348	18841	8152
349	18878	8090
350	18911	8027
351	18946	7966
352	18985	7906
353	19021	7844
354	19061	7785
355	19096	7724
356	19128	7662
357	19160	7599
358	19194	7538
359	19231	7479
360	19270	7419
361	19306	7359
362	19342	7299
363	19378	7240
364	19420	7183
365	19461	7125
366	19497	7066
367	19532	7006
368	19567	6946
369	19604	6888
370	19642	6829
371	19683	6772
372	19720	6714
373	19757	6656
374	19796	6598
375	19832	6540
376	19869	6482
377	19906	6424
378	19944	6367
379	19980	6309
380	20014	6251
381	20048	6192
382	20083	6135
383	20117	6077
384	20152	6019
385	20189	5962
386	20223	5905
387	20257	5847
388	20291	5790
389	20325	5732
390	20359	5675
391	20398	5619
392	20433	5563
393	20468	5506
394	20500	5449
395	20533	5392
396	20566	5335
397	20599	5279
398	20636	5223
399	20674	5168
400	20714	5114
401	20754	5059
402	20788	5003
403	20821	4947
404	20855	4892
405	20889	4836
406	20928	4782
407	20962	4726
408	21000	4672
409	21037	4617
410	21075	4563
411	21112	4509
412	21151	4455
413	21188	4401
414	21226	4347
415	21264	4293
416	21300	4239
417	21336	4185
418	21370	4131
419	21404	4077
420	21441	4023
421	21479	3970
422	21518	3917
423	21555	3863
424	21595	3810
425	21635	3758
426	21674	3705
427	21709	3652
428	21744	3598
429	21783	3546
430	21816	3492
431	21852	3439
432	21897	3388
433	21936	3336
434	21971	3283
435	22009	3230
436	22056	3179
437	22104	3128
438	22148	3077
439	22187	3025
440	22228	2973
441	22264	2921
442	22299	2869
443	22332	2816
444	22370	2764
445	22408	2713
446	22447	2661
447	22487	2610
448	22521	2558
449	22553	2505
450	22585	2453
451	22622	2402
452	22658	2350
453	22693	2299
454	22726	2247
455	22761	2196
456	22796	2145
457	22830	2093
458	22859	2041
459	22889	1990
460	22922	1939
461	22953	1887
462	22981	1836
463	23010	1785
464	23041	1734
465	23065	1682
466	23090	1631
467	23114	1580
468	23130	1528
469	23146	1477
470	23167	1426
471	23184	1375
472	23200	1324
473	23215	1273
474	23232	1222
475	23247	1172
476	23263	1121
477	23279	1071
478	23296	1021
479	23312	971
480	23328	921
481	23344	871
482	23361	822
483	23378	772
484	23394	723
485	23410	674
486	23426	625
487	23442	576
488	23458	527
489	23474	479
490	23490	430
491	23506	382
492	23522	333
493	23539	285
494	23556	237
495	23574	190
496	23591	142
497	23609	94
498	23627	47
499	23643	0
