iter	Logloss
0	0.624763665711	0.568830255
2	0.5194821197
3	0.4771456215
4	0.4404490657
5	0.4099525768
6	0.3833520456
7	0.355942524
8	0.3332792284
9	0.3133451832
10	0.2962241184
11	0.2842629253
12	0.2714311929
13	0.2604485694
14	0.2504997059
15	0.2429477771
16	0.2360102096
17	0.2296213838
18	0.2252282182
19	0.2190880869
20	0.2144186626
21	0.2097725503
22	0.205599543
23	0.2017413185
24	0.1985712257
25	0.1963035951
26	0.1941813903
27	0.191614129
28	0.1893812608
29	0.1877811546
30	0.1855310521
31	0.1839103564
32	0.1825452909
33	0.1806896278
34	0.178870584
35	0.1774308807
36	0.1763082371
37	0.175006922
38	0.1738203624
39	0.1725221949
40	0.1712992839
41	0.1700884479
42	0.1691614987
43	0.1680903238
44	0.1669762556
45	0.1662192854
46	0.1655233882
47	0.1647784142
48	0.1637126552
49	0.1630391649
50	0.1619318657
51	0.1609055437
52	0.1603654829
53	0.1597970726
54	0.1588125758
55	0.1583016028
56	0.1578286844
57	0.1574434959
58	0.1568721585
59	0.1560457306
60	0.155429477
61	0.1548573564
62	0.1545003119
63	0.1537912284
64	0.1531131138
65	0.1526829892
66	0.1519867551
67	0.1513819576
68	0.1508353239
69	0.1503385877
70	0.1498534656
71	0.1492683452
72	0.1487437239
73	0.1484454356
74	0.1478815334
75	0.147127058
76	0.1464883224
77	0.1462892983
78	0.1456619746
79	0.1451421928
80	0.1447592905
81	0.1442101026
82	0.1436328092
83	0.1432970436
84	0.1428121398
85	0.1424317509
86	0.1419549958
87	0.1416202986
88	0.1412467298
89	0.1407939066
90	0.1403587681
91	0.1401632336
92	0.1396220831
93	0.1391244571
94	0.1385963072
95	0.1381774975
96	0.1378510212
97	0.1375380509
98	0.1372411548
99	0.1367902579
100	0.136273782
101	0.1359098365
102	0.1356167684
103	0.1350774759
104	0.1346658788
105	0.134250142
106	0.1339591648
107	0.1335496208
108	0.1330365206
109	0.1323877234
110	0.1321335488
111	0.1316289565
112	0.1315882377
113	0.1313324586
114	0.1309760861
115	0.1307634789
116	0.1304345548
117	0.1300205676
118	0.1297656617
119	0.1295335255
120	0.1292821715
121	0.1287748582
122	0.1285385853
123	0.1282552544
.125726176
125	0.1252323573
92
126	0.1258806695
127	0.1256312476
128	0.1254339771
252
129	0.1272043302
130	0.1269813568
131	0.1266810397
132	0.126454111
133	0.1263002447
134	0.1260800273
135	0.125857594
136	0.1255626325
137	0.1252179275
138	0.1249675509
139	0.1244318143
140	0.124277733
141	0.1239639206
142	0.1237325614
143	0.1234603527
144	0.1232480299
145	0.1229835362
146	0.1225717784
147	0.1223473997
148	0.1221431454
149	0.1219076634
150	0.1215926746
151	0.1211892751
152	0.1208235524
153	0.1205432575
154	0.1202165528
155	0.1200396864
156	0.1196825048
157	0.1194483705
158	0.1192018313
159	0.1188733553
160	0.1186367185
161	0.118271836
162	0.1180619541
163	0.1179242083
164	0.1176482775
165	0.1173630157
166	0.117056706
167	0.1167770893
168	0.116507015
169	0.1162649252
170	0.1160993208
171	0.1157761466
172	0.1153897588
173	0.1152200733
174	0.1149034635
175	0.1146619163
176	0.1145464108
177	0.1142801666
178	0.1138279659
179	0.1136782213
180	0.113492268
181	0.1132462511
	0.1081601132
183	0.107823306
184	0.1073489168
185	0.1071306478
186	0.1067850242
187	0.1064227161
