model,recall_class1,f1_class1,f1_macro
lgbm,0.5645756457564576,0.6566523605150214,0.8143328271002603
rf,0.41697416974169743,0.5492102065613609,0.7585347576166417
logistic,0.15498154981549817,0.24103299856527977,0.5978496040902498
